Column,day,OE.1,OE.2,OE.3,OE.4,NM.1,NM.2,NM.3,NM.4
day0,0,-0.000113516,-0.000113516,-0.000113516,-0.000113516,-0.000113516,-0.000113516,-0.000113516,-0.000113516
day2,2,-0.000113238,-0.000113238,-0.000110488,-0.000114076,-0.000113936,-0.000114076,-0.000114076,-0.000113936
day3,3,-0.000113516,-0.000113238,-0.000113099,-0.000113796,-0.000113656,-0.000113377,-0.000113796,-0.000113099
day6,6,-0.000113238,-0.000113238,-0.000113238,-0.000113796,-0.000114076,-0.000113656,-0.000113936,-0.000113377
day8,8,-0.000113796,-0.000113238,-0.000113516,-0.000113656,-0.000114076,-0.000113099,-0.000113936,-0.000113377
day13,13,-0.000113796,-0.000113099,-0.000113377,-0.000114357,-0.000114216,-0.000113516,-0.000114076,-0.000113656
day14,14,-0.000278119,-0.00024116,-0.00030913,-0.000365828,-0.00047825,-0.00046207,-0.000142326,-0.000498049
day15,15,-0.000397233,-0.00036493,-0.000414186,-0.000588674,-0.000915218,-0.000805388,-0.000328725,-0.00079262
day16,16,-0.000568059,-0.000516758,-0.000542802,-0.000923127,-0.001685951,-0.00131041,-0.00062139,-0.001190604
day17,17,-0.000814347,-0.000724594,-0.000718386,-0.001429914,-0.003079132,-0.002082889,-0.000888613,-0.001775278
day20,20,-0.001819463,-0.001501978,-0.00129281,-0.003577315,-0.007351728,-0.004457744,-0.001054185,-0.004228242
day21,21,-0.002309452,-0.001867041,-0.00153747,-0.004751984,-0.008457609,-0.005426628,-0.001653116,-0.005419962
day22,22,-0.002756655,-0.002256139,-0.001781837,-0.006061443,-0.009263007,-0.006281415,-0.002179808,-0.006696029
day23,23,-0.000123869,-0.00011296,-0.000116628,-0.00012868,-0.000119531,-0.000119237,-0.00011158,-0.000122807
day24,24,-0.000248686,-0.000201293,-0.000245647,-0.000273374,-0.000291418,-0.000289277,-0.000254249,-0.000310272
day27,27,-0.000839761,-0.000531577,-0.000773372,-0.000921993,-0.00189945,-0.001133479,-0.000979233,-0.001435197
day28,28,-0.001095131,-0.000677225,-0.000979233,-0.001205329,-0.002408017,-0.00144938,-0.001400344,-0.001814996
day29,29,-0.001362982,-0.000831543,-0.001177505,-0.001472727,-0.002853185,-0.001779648,-0.001422901,-0.002209482
day30,30,-0.001941945,-0.001002373,-0.001384937,-0.00173643,-0.003290454,-0.002126872,-0.0018465,-0.00265685
day31,31,-0.002390322,-0.00121127,-0.001630914,-0.002019854,-0.003794737,-0.00253872,-0.00234377,-0.003210546
day34,34,-0.003688954,-0.001883176,-0.002329409,-0.002760045,-0.005159915,-0.003743772,-0.003846395,-0.005016076
day35,35,-0.004150995,-0.002153177,-0.00259871,-0.003034046,-0.005658232,-0.004223048,-0.004397875,-0.005791937
day36,36,-0.004602513,-0.002434805,-0.002863726,-0.003282374,-0.006166657,-0.004693929,-0.004918386,-0.006606098
day37,37,-0.005084361,-0.002746508,-0.003167427,-0.003603796,-0.006704265,-0.005230158,-0.005433303,-0.007562542
day38,38,-0.00558224,-0.003071571,-0.003486153,-0.003913161,-0.007279787,-0.005813335,-0.005965351,-0.008520217
day41,41,-0.007164382,-0.004228242,-0.004463227,-0.004966991,-0.009172363,-0.007712751,-0.007562542,-0.012139409
day42,42,-0.0077603,-0.004670907,-0.004954795,-0.005366925,-0.009874426,-0.008457609,-0.008161427,-0.013609589
day43,43,-0.008333769,-0.005140922,-0.005380135,-0.00579906,-0.010591097,-0.009172363,-0.008743018,-0.015015938
day44,44,-0.008938621,-0.005644339,-0.005813335,-0.006235258,-0.011373755,-0.009947522,-0.009343055,-0.016445872
day45,45,-0.009563832,-0.006197053,-0.006296876,-0.006679587,-0.012139409,-0.010695761,-0.009959757,-0.017748236
day46,46,-0.000110624,-0.000110624,-0.00011213,-0.000112406,-0.000109946,-0.000110488,-0.000113936,-0.000113656
day47,47,-0.000243543,-0.000211178,-0.000247162,-0.000218842,-0.000243543,-0.00024838,-0.0002388,-0.000256131
day48,48,-0.000442068,-0.000335255,-0.000435595,-0.000368537,-0.00052832,-0.000504209,-0.000459804,-0.000678892
day49,49,-0.000648707,-0.000468936,-0.000619102,-0.000511702,-0.000926538,-0.000756448,-0.000724594,-0.001402066
