MPa	Growth	Strain	D1
-0.010613289	0.313869513	NM	0
-0.010613289	0.655370952	NM	0
-0.051795689	1.159719641	NM	0
-0.051795689	1.333011461	NM	0
-0.099487931	0.928670581	NM	0
-0.099487931	0.944034283	NM	0
-0.485527716	-0.732408192	NM	0
-0.485527716	-0.879685777	NM	0
-1.052777276	-2.337705265	NM	0
-1.052777276	-1.936380997	NM	0
-1.405646845	-1.936380997	NM	0
-1.405646845	-1.570176901	NM	0
-0.051795689	1.252624109	NM	0
-0.051795689	0.802648536	NM	0
-0.485527716	-0.732408192	NM	0
-0.485527716	-0.879685777	NM	0
-0.485527716	-2.585017713	NM	0
-0.485527716	-2.867450333	NM	0
-0.485527716	0.402359478	NM	0
-0.485527716	0.274653072	NM	0
-0.485527716	0.535016541	NM	0
-0.485527716	0.486477537	NM	0
-0.485527716	0.244389511	NM	0
-0.485527716	0.545560668	NM	0
-0.485527716	0.434661124	NM	0
-0.485527716	0.47397529	NM	0
-1.052777276	-0.767528364	NM	0
-1.052777276	-1.097661266	NM	0
-1.052777276	-0.956856377	NM	0
-1.052777276	-1.117469072	NM	0
-0.485527716	0.244389511	NM	0
-0.485527716	0.545560668	NM	0
-0.485527716	0.434661124	NM	0
-0.485527716	0.47397529	NM	0
-0.010613289	1.384395021	OE	1
-0.010613289	1.367692747	OE	1
-0.051795689	1.925451056	OE	1
-0.051795689	1.857584737	OE	1
-0.099487931	1.803882017	OE	1
-0.099487931	1.28774428	OE	1
-0.485527716	1.197856425	OE	1
-0.485527716	1.641207972	OE	1
-1.052777276	-0.597253156	OE	1
-1.052777276	-1.155245301	OE	1
-1.405646845	-2.132309885	OE	1
-1.405646845	-2.334355153	OE	1
-0.051795689	2.125709009	OE	1
-0.051795689	1.801225961	OE	1
-0.485527716	1.197856425	OE	1
-0.485527716	1.786313996	OE	1
-0.485527716	0.863422388	OE	1
-0.485527716	1.535056729	OE	1
-0.485527716	1.68095811	OE	1
-0.485527716	1.694980477	OE	1
-0.485527716	1.584206433	OE	1
-0.485527716	1.464483289	OE	1
-0.485527716	0.7716438	OE	1
-0.485527716	0.981787163	OE	1
-0.485527716	0.966515442	OE	1
-0.485527716	0.85224878	OE	1
-1.052777276	0.841909548	OE	1
-1.052777276	1.168852632	OE	1
-1.052777276	0.841909548	OE	1
-1.052777276	1.072958608	OE	1
-0.485527716	0.7716438	OE	1
-0.485527716	0.981787163	OE	1
-0.485527716	0.966515442	OE	1
-0.485527716	0.85224878	OE	1
