Official_Strain Code	Strain_Code	Micobial_Type	Functional_Group	Division_Phylum	Subphylum	Class	Order 	Family 	Genus	Rmax	sigma	tau	Optimum	breadth_0.5_Rmax	breadth_0.05_Rmax	Mpa(minus_0.05_ Rmax)	Mpa(plus0.05_ Rmax)	Miocroaero	umax	lag_time	biofilm	motility
KBS0816	KBS0816	Bacteria	G_neg	Acidobacteria		Acidobacteria	Acidobacteriales	Acidobacteriaceae	Terriglobus	22.15	0.876	4.81	0.2988	0.682506779	0.925261436	-0.626461436	1.224061436	0.37976569	0.05583333	63.9365333	0.0128625	0.167
KBS0702	KBS0702	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	64.0758	0.184642	0.407494	0.0463583	0.009701222	0.352203997	-0.305845697	0.398562297	0.19655004	0.11513333	4.2602	0.10449506	0.417
KBS0703	KBS0703	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	69.58	0.18316	0.555851	0.00930406	0.021126476	0.294061691	-0.284757631	0.303365751	0.37208991	0.11843333	4.3776	0.19274506	0.208
KBS0706	KBS0706	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	45.6127	0.0256105	0.713049	0.0106133	0.004755604	0.037042288	-0.026428988	0.047655588	0.1132381	0.0325	18.1011667	1.98920756	0.25
KBS0714	KBS0714	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus	10.76	1.126	1.356	0.242	0.464549849	1.367165426	-1.125165426	1.609165426	0.30812673	0.05263333	29.2178	2.63562006	0.167
KBS0715	KBS0715	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	107.52	0.866	1.48	0.518	0.384793031	1.034520371	-0.516520371	1.552520371	0.3135482	0.05435	7.090275	1.01317006	0.292
KBS0722	KBS0722	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Cellulomonadaceae ¾ 	Oerskovia	21.148	0.383	0.743	0.0096	0.0761136	0.545779846	-0.536179846	0.555379846	0.14738878	0.0894	10.6443	0.27479506	0.5
KBS0724	KBS0724	Bacteria	G_pos	Actinobacteria		Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	91.5	0.421	0.759	0.256	0.086564226	0.595467772	-0.339467772	0.851467772	0.73219515	0.0742	11.13645	1.19513256	0.333
KBS0802F	Fungus_1A	Fungi	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascadeae	Galactomyces	94.78	1.08	2.6	0.46	0.680595468	1.195034417	-0.735034417	1.655034417	0.76616487	0.02276667	2.9584	0.78252083	0.625
KBS0804F	Fungus_3	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	85.56	0.7	79.03	0.697	0.689446655	0.702334764	-0.005334764	1.399334764	0.50204277	0.00819667	11.4325667	1.2138125	0.292
KBS0805F	Fungus_4	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	126.49	1.36	2.84	0.82	0.891149977	1.492041555	-0.672041555	2.312041555	0.44041687	0.03296667	1.16546667	0.72072619	0.719
KBS0806F	Fungus_5	Fungi	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Dipodascadeae	Geotrichum	108.55	0.70148	171.69	0.70263	0.696591998	0.702556011	7.40E-05	1.405186011	0.29915683	0.03986667	5.7328	0.87954583	0.5
KBS0807F	Fungus_6	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	57.32	0.512	1.43	0.238	0.221136998	0.615447705	-0.377447705	0.853447705	0.8537			0.2712625	0.333
KBS0814F	Fungus_13	Fungi	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Massarinaceae	Dictyosporium 	94.75	1.08839	2.6	0.462	0.685882686	1.204318064	-0.742318064	1.666318064				0.0978	0.5625
KBS0816F	Fungus_15	Fungi	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	74.58	0.9	1.38	0.28	0.377071322	1.089079041	-0.809079041	1.369079041				0.5864	0.354
KBS0821F	Fungus_FS_31	Fungi	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	69.9	0.41	60	0.41	0.401877803	0.411802184	-0.001802184	0.821802184	0.9995	0.6869	83.3857333	0.01600937	0.25
KBS0822F	Fungus_FS_35	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Hypocrea 	45	0.301	0.976	0.0058	0.087974174	0.394152376	-0.388352376	0.399952376	0.6203	0.1418	56.5029333	0.03144687	0.403
KBS0824F	Fungus_FS_56	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Davidiellacea 	Cladosporium	39.34	1.16	2.13	0.475	0.660197453	1.312544399	-0.837544399	1.787544399	0.7083	0.04026667	67.0618333	0.46534687	0.292
KBS0825F	Fungus_FS_62	Fungi	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Phyllachorales	Phyllachoraceae	Colletotrichum	39.14	0.527	92.1	0.528	0.520175009	0.528507944	-0.000507944	1.056507944	0.5369	0.07626667	32.0879	0.00207187	0.278
KBS0826F	Fungus_FS_66	Fungi	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	72.43	0.768	1.44	0.201	0.33364504	0.92199254	-0.72099254	1.12299254	0.1604	0.2806	65.2851	0.29384955	0.25
KBS0701	KBS0701	Bacteria	G_neg	Bacteroidetes		Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	58.9044	0.0290945	0.326241	0.000691919	0.000733898	0.065181821	-0.064489902	0.06587374	0.52457636	0.0777	5.40506667	0.16579506	0.208
KBS0721	KBS0721	Bacteria	G_neg	Bacteroidetes		Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	24.97	0.076	0.796	0.01	0.016819022	0.105776846	-0.095776846	0.115776846	0.30879551	0.04685	3.975675	0.84608256	0.292
KBS0725	KBS0725	Bacteria	G_neg	Bacteroidetes		Flavobacteria	Flavobacteriales	Flavobacteriaceae	Riemeralla	11.91	0.416	0.376	0.0106	0.017077221	0.837623669	-0.827023669	0.848223669	1.12811388	0.00817	21.9678	0.00884375	0.208
KBS0801F	Fungus_0	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Trichosporon	62.05	1.04	8.29	0.924	0.899786481	1.073543148	-0.149543148	1.997543148	0.69155825	0.04893333	6.826	3.07528333	1.417
KBS0817F	Fungus_1B	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Trichosporon	84.62	0.679	0.89	0.322	0.176213046	0.912604239	-0.590604239	1.234604239				0.7679	1.042
KBS0834F	Fungus 1C	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Trichosporon	79.23	1.103	7.54	0.925	0.940644704	1.142175869	-0.217175869	2.067175869				0.2736	0.364
KBS0803F	Fungus_2	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Trichosporon	63.72	0.698	19.4	0.676	0.656114503	0.707532708	-0.031532708	1.383532708	0.20559457	0.0256	2.87803333	0.44836458	0.292
KBS0810F	Fungus_9	Fungi	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Cryptococcaceae	Trichosporon	80.28	0.797	5.66	0.52	0.644673631	0.834930691	-0.314930691	1.354930691	0.34854394	0.0115	-3.5872	0.58702917	0.542
KBS0819F	Fungus_ATCC_26195	Fungi	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Poriales	Poriceae	Trametes	27.08	0.00227	0.869	0.0106	0.000570213	0.003072853	0.007527147	0.013672853	1.1655	0.0699	80.0564	0.00045937	0.063
KBS0827F	Fungus_HHB708_SP	Fungi	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	63.9561	0.236388	7.63716	0.225643	0.202001807	0.244675261	-0.019032261	0.470318261	0.416	0.12583333	47.5327333	0.00042813	0.083
KBS0717	KBS0717	Bacteria	G_pos	Firmicutes		Bacilli	Bacillales	Bacillaceae	Bacillus	68.25	0.884	70.96	0.87	0.869169746	0.887284414	-0.017284414	1.757284414	0.16812778	0.06816667	9.2886	1.58295756	0.292
KBS0812	KBS0812	Bacteria	G_pos	Firmicutes		Bacilli	Bacillales	Bacillaceae	Bacillus	35.98	1.25	12.38	1.07	1.13447384	1.276855117	-0.206855117	2.346855117	0.44458222	0.0182	1.94556667	3.0601625	2
KBS0818F	Fungus_ATCC_10404	Fungi	Fungi	Glomeromycota	Mucoromycotina	Glomeromycetes	Mucorales	Mucoraceae	Rhizopus	140.3	0.526	145	0.529	0.521662898	0.526955489	0.002044511	1.055955489	1.0366	0.07716667	10.7501667	0.04068438	1.333
KBS0820F	Fungus_FS_8	Fungi	Fungi	Glomeromycota	Mucoromycotina	Glomeromycetes	Mucorales	Mucoraceae	Umbelopsis	34.12	0.623	3.19	0.355	0.427605059	0.676573198	-0.321573198	1.031573198	0.697	0.02	16.97015	0.01393438	0.208
KBS0823F	Fungus_FS-54	Fungi	Fungi	Glomeromycota	Mucoromycotina	Glomeromycetes	Mucorales	Mucoraceae	Mucor	128.75	0.53	54.6	0.534	0.518473541	0.532560613	0.001439387	1.066560613	0.9013	0.4112	13.0469667	0.00738438	0.958
KBS0704	KBS0704	Bacteria	G_neg	Proteobacteria		Beta Proteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	24.792	0.104474	0.530967	0.000536973	0.010890422	0.171495188	-0.170958215	0.172032161	0.85794554	0.06473333	1.30023333	0.15058256	0.25
KBS0705	KBS0705	Bacteria	G_neg	Proteobacteria		Alpha Proteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	74.3	0.00915154	0.321278	0.099	0.000218088	0.020759713	0.078240287	0.119759713	0.33813049	0.0318	7.00983333	0.20558256	0.25
KBS0707	KBS0707	Bacteria	G_neg	Proteobacteria		Gamma Proteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	64.25	0.0477	2.88	0.037	0.031439824	0.052263859	-0.015263859	0.089263859	0.61581426	0.01303333	2.57573333	0.25726113	0.292
KBS0710	KBS0710	Bacteria	G_neg	Proteobacteria		Gamma Proteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	58.79	0.1208	5.56	0.001	0.097340083	0.126654961	-0.125654961	0.127654961	1.02049067	0.08295	6.255975	0.52753256	2.75
KBS0711	KBS0711	Bacteria	G_neg	Proteobacteria		Beta Proteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium  	64.01	0.0078	3.99	0.001	0.00577325	0.008331785	-0.007331785	0.009331785	0.2308056	0.1062	6.470325	1.75688256	1.042
KBS0713	KBS0713	Bacteria	G_neg	Proteobacteria		Gamma Proteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	90.03	0.0028	0.357	0.0025	9.70E-05	0.005851815	-0.003351815	0.008351815	0.41864608	0.02815	0.474325	0.29645756	1.875
KBS0727	KBS0727	Bacteria	G_neg	Proteobacteria		Beta Proteobacteria	Burkholderiales	Comamonadaceae	Comamonas	19.73	0.356	0.546	0.052	0.039493247	0.57645766	-0.52445766	0.62845766	0.74211948	0.00922	23.7909	0.0917875	0.208
KBS0801	KBS0801	Bacteria	G_neg	Proteobacteria		Beta Proteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	71.4	0.27	5.02	0.236	0.212569607	0.284531374	-0.048531374	0.520531374	0.34893464	0.07185	8.790225	0.42240756	1.042
KBS0802	KBS0802	Bacteria	G_neg	Proteobacteria		Gamma Proteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	58.21	0.4237	1.13	0.32	0.146437121	0.53480773	-0.21480773	0.85480773	0.87063838	0.1134	5.7935	0.2889	1.875
KBS0806	KBS0806	Bacteria	G_neg	Proteobacteria		Gamma Proteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	15	0.7	0.504	0.01	0.064653735	1.179936334	-1.169936334	1.189936334	0.23731986	0.10066667	6.12493333	0.1554375	1.875
